quantity_sold,ProductName
7967,Water Bottle - 30 oz.
5898,Patch Kit/8 Patches
5678,Mountain Tire Tube
4327,Road Tire Tube
4151,AWC Logo Cap
3960,Fender Set - Mountain
3810,Mountain Bottle Cage
3329,Road Bottle Cage
2740,Touring Tire Tube
2119,ML Mountain Tire
2099,"""Sport-100 Helmet, Red"""
1995,"""Sport-100 Helmet, Blue"""
1940,"""Sport-100 Helmet, Black"""
1904,LL Road Tire
1723,Touring Tire
1723,ML Road Tire
1706,Bike Wash - Dissolver
1560,LL Mountain Tire
1305,HL Mountain Tire
918,"""Half-Finger Gloves, M"""
886,"""Half-Finger Gloves, S"""
840,"""Half-Finger Gloves, L"""
795,HL Road Tire
695,Hydration Pack - 70 oz.
606,"""Mountain-200 Black, 46"""
602,"""Mountain-200 Black, 42"""
586,"""Mountain-200 Silver, 38"""
571,"""Mountain-200 Silver, 46"""
569,"""Mountain-200 Black, 38"""
554,"""Racing Socks, M"""
547,"""Mountain-200 Silver, 42"""
509,"""Racing Socks, L"""
424,"""Long-Sleeve Logo Jersey, L"""
408,"""Long-Sleeve Logo Jersey, M"""
392,"""Long-Sleeve Logo Jersey, S"""
388,"""Short-Sleeve Classic Jersey, S"""
383,"""Road-750 Black, 52"""
383,"""Short-Sleeve Classic Jersey, XL"""
381,"""Long-Sleeve Logo Jersey, XL"""
379,"""Short-Sleeve Classic Jersey, M"""
358,"""Short-Sleeve Classic Jersey, L"""
356,"""Road-750 Black, 44"""
355,"""Road-750 Black, 48"""
334,"""Womens Mountain Shorts, L"""
328,"""Road-750 Black, 58"""
327,"""Womens Mountain Shorts, M"""
316,"""Road-250 Black, 52"""
303,"""Road-250 Red, 58"""
302,Hitch Rack - 4-Bike
296,"""Road-550-W Yellow, 42"""
294,"""Road-250 Black, 48"""
283,"""Womens Mountain Shorts, S"""
281,"""Road-550-W Yellow, 44"""
268,"""Road-250 Black, 58"""
264,"""Road-550-W Yellow, 38"""
263,"""Road-250 Black, 44"""
259,"""Road-550-W Yellow, 40"""
258,"""Road-550-W Yellow, 48"""
240,"""Road-350-W Yellow, 40"""
234,All-Purpose Bike Stand
233,"""Road-350-W Yellow, 42"""
225,"""Road-350-W Yellow, 48"""
213,"""Road-350-W Yellow, 44"""
182,"""Classic Vest, M"""
182,"""Classic Vest, L"""
179,"""Road-150 Red, 48"""
176,"""Touring-1000 Blue, 46"""
169,"""Road-150 Red, 62"""
168,"""Road-150 Red, 52"""
168,"""Touring-1000 Yellow, 46"""
161,"""Road-250 Red, 48"""
157,"""Touring-1000 Blue, 54"""
157,"""Classic Vest, S"""
157,"""Road-150 Red, 56"""
153,"""Touring-1000 Yellow, 54"""
148,"""Touring-1000 Blue, 50"""
147,"""Touring-1000 Blue, 60"""
146,"""Mountain-400-W Silver, 38"""
146,"""Touring-1000 Yellow, 50"""
141,"""Road-250 Red, 44"""
139,"""Road-150 Red, 44"""
138,"""Touring-1000 Yellow, 60"""
135,"""Mountain-400-W Silver, 46"""
128,"""Road-250 Red, 52"""
126,"""Mountain-400-W Silver, 42"""
126,"""Mountain-400-W Silver, 40"""
100,"""Touring-2000 Blue, 50"""
96,"""Touring-2000 Blue, 46"""
86,"""Touring-2000 Blue, 54"""
79,"""Touring-2000 Blue, 60"""
75,"""Road-650 Red, 48"""
72,"""Road-650 Red, 62"""
72,"""Road-650 Black, 52"""
65,"""Road-650 Red, 58"""
65,"""Road-650 Red, 44"""
64,"""Road-650 Black, 58"""
63,"""Touring-3000 Blue, 62"""
63,"""Road-650 Black, 60"""
59,"""Touring-3000 Yellow, 44"""
57,"""Touring-3000 Blue, 58"""
56,"""Touring-3000 Yellow, 50"""
56,"""Road-650 Black, 48"""
56,"""Mountain-500 Black, 44"""
55,"""Mountain-500 Black, 48"""
54,"""Touring-3000 Blue, 54"""
52,"""Touring-3000 Blue, 44"""
51,"""Road-650 Red, 52"""
50,"""Road-650 Black, 44"""
50,"""Road-650 Black, 62"""
49,"""Mountain-500 Silver, 48"""
48,"""Touring-3000 Blue, 50"""
48,"""Touring-3000 Yellow, 62"""
48,"""Mountain-500 Silver, 52"""
48,"""Mountain-500 Black, 42"""
48,"""Mountain-500 Black, 40"""
47,"""Touring-3000 Yellow, 54"""
46,"""Touring-3000 Yellow, 58"""
45,"""Mountain-500 Silver, 42"""
45,"""Mountain-500 Silver, 40"""
41,"""Mountain-500 Black, 52"""
39,"""Road-650 Red, 60"""
38,"""Mountain-500 Silver, 44"""
36,"""Mountain-100 Black, 48"""
31,"""Mountain-100 Black, 44"""
29,"""Mountain-100 Silver, 38"""
26,"""Mountain-100 Black, 38"""
26,"""Mountain-100 Black, 42"""
25,"""Mountain-100 Silver, 42"""
24,"""Mountain-100 Silver, 44"""
22,"""Mountain-100 Silver, 48"""
